epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.95621,1.8916,3.82902,1.98726,0.00701,0.57407,0.06091,0.01316,2.08771,3.67154,1.97317,0,0,0
2,1.75609,2.47152,3.77268,2.28736,0.00955,0.61111,0.0603,0.01284,1.95008,3.63498,1.88009,1.41485e-05,1.41485e-05,1.41485e-05
3,2.49265,1.81223,3.7698,1.9809,0.01024,0.61111,0.10113,0.01888,1.87745,3.61525,1.815,2.80141e-05,2.80141e-05,2.80141e-05
4,3.2368,2.13741,3.74885,1.93548,0.01099,0.61111,0.02228,0.01311,1.78518,3.61434,1.75371,4.15968e-05,4.15968e-05,4.15968e-05
5,4.00084,2.17374,4.00764,2.10895,0.00919,0.57407,0.02408,0.01414,1.73265,3.56408,1.67302,5.48965e-05,5.48965e-05,5.48965e-05
6,4.72024,2.65362,3.85542,2.16828,0.00636,0.53704,0.02782,0.01616,1.7008,3.53396,1.64168,6.79132e-05,6.79132e-05,6.79132e-05
7,5.4773,2.25862,3.74594,1.96922,0.00668,0.53704,0.12424,0.03217,1.70069,3.50184,1.63284,8.0647e-05,8.0647e-05,8.0647e-05
8,6.21582,2.00052,3.92876,1.86064,0.00668,0.53704,0.08303,0.0245,1.72473,3.48792,1.62509,9.30979e-05,9.30979e-05,9.30979e-05
9,6.94375,1.80885,3.72668,1.82732,0.00755,0.53704,0.03252,0.02048,1.75584,3.50191,1.61321,0.000105266,0.000105266,0.000105266
10,7.66064,2.1091,3.70853,1.89703,0.00749,0.53704,0.04076,0.02519,1.80377,3.49204,1.62521,0.000117151,0.000117151,0.000117151
11,8.37659,2.04524,3.63941,1.84234,0.01298,0.57407,0.05327,0.03128,1.87323,3.50237,1.66832,0.000128753,0.000128753,0.000128753
12,9.1033,1.64152,3.28377,1.55608,0.01284,0.57407,0.06326,0.03754,1.88196,3.52136,1.66787,0.000140072,0.000140072,0.000140072
13,9.80715,1.79271,3.48428,1.6052,0.01189,0.57407,0.06946,0.03998,1.82142,3.52406,1.63187,0.000151108,0.000151108,0.000151108
14,10.5401,1.66761,3.40019,1.6963,0.01169,0.57407,0.06875,0.03465,1.76059,3.53506,1.60546,0.000161861,0.000161861,0.000161861
15,11.2764,1.61225,3.4003,1.55277,0.01068,0.57407,0.09781,0.05214,1.74089,3.61197,1.63345,0.000172332,0.000172332,0.000172332
16,12.0089,1.42711,3.00844,1.42138,0.01187,0.57407,0.1558,0.10895,1.77558,3.63086,1.65642,0.000182519,0.000182519,0.000182519
17,12.741,1.41184,3.34929,1.47392,0.01911,0.64815,0.24095,0.16036,1.74076,3.62991,1.64514,0.000192423,0.000192423,0.000192423
18,13.4536,1.84715,3.47361,1.60276,0.01911,0.64815,0.24095,0.16036,1.74076,3.62991,1.64514,0.000202045,0.000202045,0.000202045
19,14.1802,1.52127,3.23242,1.60325,0.02047,0.68519,0.47536,0.31434,1.61076,3.52708,1.54265,0.000211383,0.000211383,0.000211383
20,14.9328,1.60542,3.23219,1.47955,0.02047,0.68519,0.47536,0.31434,1.61076,3.52708,1.54265,0.000220439,0.000220439,0.000220439
21,15.6959,1.52168,3.35878,1.42678,0.01941,0.68519,0.30553,0.19428,1.50494,3.55406,1.45709,0.000229212,0.000229212,0.000229212
22,16.3948,1.49016,3.0122,1.39425,0.01941,0.68519,0.30553,0.19428,1.50494,3.55406,1.45709,0.000237701,0.000237701,0.000237701
23,17.1473,1.47872,3.22957,1.418,0.01897,0.68519,0.18062,0.11036,1.47322,3.56548,1.42158,0.000245908,0.000245908,0.000245908
24,17.8325,1.31989,2.96421,1.29903,0.01897,0.68519,0.18062,0.11036,1.47322,3.56548,1.42158,0.000253832,0.000253832,0.000253832
25,18.5659,1.33527,3.04692,1.32889,0.02155,0.85185,0.22244,0.12718,1.44008,3.51434,1.36209,0.000261473,0.000261473,0.000261473
26,19.2759,1.46351,3.12568,1.37715,0.02155,0.85185,0.22244,0.12718,1.44008,3.51434,1.36209,0.000268831,0.000268831,0.000268831
27,20.0125,1.65819,3.00914,1.6783,0.02111,0.85185,0.27762,0.15899,1.33682,3.42884,1.25197,0.000275906,0.000275906,0.000275906
28,20.7251,1.18535,2.77428,1.11459,0.02111,0.85185,0.27762,0.15899,1.33682,3.42884,1.25197,0.000282698,0.000282698,0.000282698
29,21.4629,1.58565,3.14532,1.3269,0.02102,0.85185,0.2951,0.18167,1.29033,3.32643,1.22469,0.000289207,0.000289207,0.000289207
30,22.1493,1.45943,2.83299,1.2282,0.02102,0.85185,0.2951,0.18167,1.29033,3.32643,1.22469,0.000295433,0.000295433,0.000295433
31,22.8731,1.15236,2.68854,1.12018,0.0203,0.85185,0.29255,0.19506,1.17988,3.24138,1.19875,0.000301376,0.000301376,0.000301376
32,23.6065,1.51403,2.82189,1.68348,0.0203,0.85185,0.29255,0.19506,1.17988,3.24138,1.19875,0.000307036,0.000307036,0.000307036
